"location","county","date","visitor","algaeobserved","algalid","cyanobacteriadominant","toxinpresent","mcvalue","mcqualifier","cylvalue","cylqualifier","anavalue","anaqualifier","saxvalue","saxqualifier","nodvalue","nodqualifier","othertoxins","comments","datetime","latitude","longitude","sampledepth","picurl"
"Lorraine Lake - W Shore","Volusia",2024-11-07,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny. Algae specks in water column have decreased in abundance since previous visits",2024-11-07 14:55:00,28.8811137049357,-81.2246501901436,0.25,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14519/attachments/12196?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Georges Lake - Center","Putnam",2024-11-05,"NEROC","Yes","Co-dominant taxa were: Microcystis aeruginosa and Raphidiopsis raciborskii","Yes","Yes",0.34,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2024-11-05 16:15:00,29.7944941796708,-81.8492449963721,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14517/attachments/12192?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Lake Yale - Center (LYC)","Lake",2024-11-05,"SJRWMD","No","Co-dominant taxa were: Microcystis aeruginosa and Raphidiopsis raciborskii","Yes","Yes",,,0.36,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.36 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected",,2024-11-05 14:15:00,28.91228869,-81.73296615,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14518/attachments/12195?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Lake Rowena - W Shore","Orange",2024-11-04,"CEROC","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Windy, overcast",2024-11-04 16:47:00,28.5707050667213,-81.364030010344,0.25,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14516/attachments/12191?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Lake Fairview - Boat Ramp","Orange",2024-11-04,"CEROC","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Windy, sunny ",2024-11-04 16:20:00,28.5967324159106,-81.4136213356153,0.3,
"Lake Roberts - S Dock","Orange",2024-11-04,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.55,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Windy, sunny",2024-11-04 15:19:00,28.5136438802087,-81.5736786546635,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14513/attachments/12190?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Bass Lake - Center","Orange",2024-10-31,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.37,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Bloom noted throughout lake, is localized in the surface near the storm drain and windward side of the lake",2024-10-31 16:42:00,28.5120136535203,-81.3423638467965,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14512/attachments/12187?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Crescent Lake - Bear Island","Putnam",2024-10-31,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny",2024-10-31 13:55:00,29.4436538811955,-81.4882151771907,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14510/attachments/12184?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Crescent Lake - mouth of Dunns Creek (CRESLM)","Putnam",2024-10-31,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny",2024-10-31 13:15:00,29.52955556,-81.55372222,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14509/attachments/12183?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Lake Washington - Center (LWC)","Brevard",2024-10-31,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Windy",2024-10-31 13:00:00,28.142439,-80.746111,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14511/attachments/12185?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Silver Glen - Kayak Launch","Marion",2024-10-31,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Clear skies, cool",2024-10-31 12:59:00,29.2451221683344,-81.6427659640224,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14508/attachments/12182?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Georges Lake - Center","Putnam",2024-10-30,"NEROC","Yes","Co-dominant taxa were: Microcystis aeruginosa and Raphidiopsis raciborskii","Yes","Yes",0.28,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2024-10-30 15:25:00,29.7948718229698,-81.8486782548468,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14502/attachments/12173?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"St. Johns River - Buzzard Island","Putnam",2024-10-30,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Partly cloudy, windy",2024-10-30 15:09:00,29.6043120936799,-81.5998281882476,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14506/attachments/12179?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"St. Johns River - Welaka Boat Ramp","Putnam",2024-10-30,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Clear skies, warm",2024-10-30 14:22:00,29.4786674194183,-81.6748357115626,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14505/attachments/12178?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Lake George - Center (LEO)","Volusia",2024-10-30,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Clear skies, windy",2024-10-30 12:58:00,29.30830556,-81.60638889,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14504/attachments/12177?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"St. Johns River - across from Drayton Island Ferry Boat Ramp","Putnam",2024-10-30,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Clear skies, cool ",2024-10-30 12:28:00,29.384286456582,-81.6393999852382,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14503/attachments/12176?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Doctors Lake - Magnolia Rd","Clay",2024-10-29,"NEROC","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2024-10-29 15:40:00,30.1176067386852,-81.7633229561415,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14496/attachments/12164?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Doctors Lake - at Camp Echockotee","Clay",2024-10-29,"NEROC","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2024-10-29 15:10:00,30.1500151368933,-81.7248558032624,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14495/attachments/12161?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Doctors Lake - Center","Clay",2024-10-29,"NEROC","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2024-10-29 14:45:00,30.1379623718263,-81.7271246360025,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14494/attachments/12158?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"St. Johns River - Shands Bridge (20030157)","StJohns",2024-10-29,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Overcast,breezy",2024-10-29 14:31:00,29.98163056,-81.62213889,0.323,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14500/attachments/12170?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"St. Johns River - Peters Branch","Clay",2024-10-29,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","Yes",,,0.1,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.10 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected","Cloudy and cool

",2024-10-29 13:58:00,30.103318296232,-81.6876375444709,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14499/attachments/12169?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Doctors Lake - Center (DTL)","Clay",2024-10-29,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cloudy",2024-10-29 13:24:00,30.13805556,-81.72722222,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14498/attachments/12168?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"St. Johns River - Mandarin Point (MP72)","Duval",2024-10-29,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cloudy",2024-10-29 13:05:00,30.15666667,-81.68388889,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14497/attachments/12167?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Lake Irma - N Lobe","Orange",2024-10-28,"CEROC","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cloudy and breezy",2024-10-28 18:20:00,28.5927041046683,-81.2672660419951,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14492/attachments/12156?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Lake Pearl - Park Dock","Orange",2024-10-28,"CEROC","Yes","Co-dominant taxa were: Microcystis aeruginosa and Microcystis wesenbergii","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sun and clouds, 80s",2024-10-28 17:38:00,28.5426328273845,-81.5316642031542,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14490/attachments/12154?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Lake Marian - Pavilion","Osceola",2024-10-28,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Yes",3.2,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny, 80’s",2024-10-28 15:43:00,27.8718051001042,-81.0518154031957,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14491/attachments/12155?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Georges Lake - Center","Putnam",2024-10-24,"SJRWMD","Yes","Co-dominant taxa were: Microcystis aeruginosa and Raphidiopsis raciborskii","Yes","Yes",0.41,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Calm, sunny, warm",2024-10-24 13:00:00,29.7991762867084,-81.8487554195879,0.301,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14487/attachments/12147?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Lake Olive - S Shore","Orange",2024-10-23,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.33,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Lots of Lemna/duckweed accumulated on shore, but planktonic algae noted in water column and wind blown with the duckweed on the surface.",2024-10-23 17:16:00,28.539124999206,-81.3677196724575,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14484/attachments/12140?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
"Lake Minnehaha - E Dock","Orange",2024-10-23,"CEROC","No","Co-dominant taxa were: Microcystis aeruginosa and Microcystis wesenbergii","Yes","Yes",,,0.13,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.13 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected",,2024-10-23 16:30:00,28.6320929850223,-81.3517095811584,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/14485/attachments/12143?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCu3aZgEZ7ydwmV3IH_9kRJCKUzl3r7-WJlmDKdZTqr7buIlp1SLSUfwxDqlGPrJLuJ0Cqzv1SmhSuDA_jk7DsEDF_OfrzIg9-GymUF1nCPNsaJ4xOJEfCGLrmvEyRUPh1f"
