location,county,date,visitor,algaeobserved,algalid,cyanobacteriadominant,toxinpresent,mcvalue,mcqualifier,cylvalue,cylqualifier,anavalue,anaqualifier,saxvalue,saxqualifier,nodvalue,nodqualifier,othertoxins,comments,datetime,latitude,longitude,sampledepth,picurl
Lake Jesup - Center (OW-CTR),Seminole,8/12/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,Yes,,,0.1,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: 0.10 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin: not detected; Saxitoxins: not detected,,8/12/2021 14:58,28.7268,-81.2111,0.3,
Lake George - Center (LEO),Volusia,8/12/2021,SJRWMD,No,Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii,Yes,Yes,,,0.71,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: 0.71; Nodularin: not detected; Saxitoxins: not detected,,8/12/2021 12:17,29.30830556,-81.60638889,0.3,
SJR - Shands Bridge (20030157),StJohns,8/11/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,Yes,,,0.12,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: 0.12 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin: not detected; Saxitoxins: not detected,,8/11/2021 16:22,29.98163056,-81.62213889,0.3,
Lake Anderson - Center,Orange,8/11/2021,County,No,mixed algae; no dominant species in sample,No,Yes,,,0.26,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: 0.26 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin: not detected,,8/11/2021 15:45,28.499,-81.337,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2732/attachments/2396?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Doctors Lake - Center (DTL),Clay,8/11/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,8/11/2021 15:35,30.13805556,-81.72722222,0.3,
SJR - Mandarin Point (MP72),Duval,8/11/2021,SJRWMD,No,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,8/11/2021 15:08,30.15666667,-81.68388889,0.3,
Blue Cypress Lake - Center (BCL),IndianRiver,8/11/2021,SJRWMD,No,Dominant taxon: Microcystis wesenbergii,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,8/11/2021 15:04,27.7282043,-80.7536804,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2735/attachments/2401?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Cypress Lake - West Lobe,Orange,8/11/2021,County,No,Dominant taxon: Cylindrospermopsis raciborskii,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,8/11/2021 14:25,28.4799,-81.56988,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2733/attachments/2398?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Stick Marsh - North (STKM),IndianRiver,8/11/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,8/11/2021 13:41,27.8115096,-80.724321,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2734/attachments/2400?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Goodbys Creek - San Jose Blvd,Duval,8/10/2021,DEP_NE_ROC,No,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,Surveyed stretch of creek from mouth to Baymeadows Rd and a bloom was not observed. Samples taken regardless.,8/10/2021 19:00,30.2159317,-81.6160697,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2731/attachments/2393?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Howell - SW Corner,Seminole,8/10/2021,DEP_CEN_ROC,Yes,Dominant taxon: Microcystis aeruginosa,Yes,Yes,0.27,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,"Suspended in the column, some scum accumulated on shore",8/10/2021 16:20,28.6368,-81.3177,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2730/attachments/2391?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
St. Johns River - Inwood Park,Duval,8/9/2021,DEP_NE_ROC,Yes,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,Bloom observed.,8/9/2021 17:00,30.292308,-81.6554824,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2728/attachments/2388?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Weir - Near Center (CLW),Marion,8/9/2021,SJRWMD,Yes,Dominant taxon: Botryococcus braunii,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,8/9/2021 15:28,29.015,-81.94341667,0.3,
Trout Lake Canal - 35m from FL-19,Lake,8/5/2021,DEP_CEN_ROC,No,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,8/5/2021 18:25,28.8640931,-81.6871352,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2726/attachments/2387?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Dead River - residential canal S of US 441,Lake,8/5/2021,DEP_CEN_ROC,Yes,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,8/5/2021 17:40,28.8140523,-81.7601309,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2725/attachments/2386?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Weir - Carney Island swim beach,Marion,8/5/2021,DEP_CEN_ROC,No,Dominant taxon: Botryococcus braunii,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,8/5/2021 16:15,29.0158352,-81.9623768,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2724/attachments/2384?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Sawgrass Lake - from CWC dock,Lake,8/5/2021,DEP_CEN_ROC,Yes,Co-dominant taxa were: Microcystis aeruginosa and Aphanizomenon flos-aquae,Yes,Yes,1.6,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,8/5/2021 14:30,28.4336,-81.6891,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2722/attachments/2380?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
St. Johns River - Mandarin Point,Duval,8/4/2021,DEP_NE_ROC,Yes,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,Algae was very sparse at the time of the visit.,8/4/2021 18:30,30.148,-81.675172,0.3,
St. Johns River - end of Oakvale Rd,StJohns,8/4/2021,DEP_NE_ROC,Yes,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,8/4/2021 17:40,30.10978676,-81.64198995,0.2,
Christopher Creek - below San Jose Blvd,Duval,8/4/2021,DEP_NE_ROC,Yes,Dominant taxon: Microcystis aeruginosa,Yes,Yes,1,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,8/4/2021 15:30,30.2525564,-81.6418087,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2705/attachments/2374?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Clapboard Creek - Boat Ramp,Duval,8/2/2021,DEP_NE_ROC,Yes,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,8/2/2021 16:20,30.4050632,-81.5073407,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2675/attachments/2357?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Crescent Lake - mouth of Dunns Creek (CRESLM),Putnam,7/29/2021,SJRWMD,No,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/29/2021 16:02,29.52955556,-81.55372222,0.3,
Lake George - Center (LEO),Volusia,7/29/2021,SJRWMD,Yes,Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii,Yes,Yes,,,0.77,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: 0.77; Nodularin: not detected; Saxitoxins: not detected,,7/29/2021 14:19,29.30830556,-81.60638889,0.3,
Lake Monroe - Center (LMAC),Volusia,7/29/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/29/2021 14:01,28.83995873,-81.26827001,0.3,
Stick Marsh - North (STKM),IndianRiver,7/29/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,HAB Routine sample,7/29/2021 13:38,27.8107377,-80.7248254,0.306,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2671/attachments/2355?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Jesup - Center (OW-CTR),Seminole,7/28/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,Yes,0.28,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/28/2021 15:14,28.7268,-81.2111,0.3,
Lake Washington - Center (LWC),Brevard,7/28/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,HAB routine sample,7/28/2021 14:00,28.1426387,-80.7442545,0.316,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2659/attachments/2341?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
SJR - Mandarin Point (MP72),Duval,7/27/2021,SJRWMD,No,Dominant taxon: Microcystis aeruginosa,Yes,Yes,0.55,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/28/2021 2:09,30.15666667,-81.68388889,0.3,
SJR - Shands Bridge (20030157),Putnam,7/27/2021,SJRWMD,No,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/27/2021 15:37,29.98163056,-81.62213889,0.3,
Doctors Lake - Center (DTL),Clay,7/27/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/27/2021 14:36,30.13805556,-81.72722222,0.3,
Blue Cypress Lake - Center (BCL),IndianRiver,7/27/2021,SJRWMD,Yes,Dominant taxon: Microcystis wesenbergii,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,HAB Routine Sample Bloom Present,7/27/2021 14:30,27.7265305,-80.7536772,0.312,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2658/attachments/2340?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Emerald - SE park shore,Orange,7/21/2021,DEP_CEN_ROC,Yes,Co-dominant taxa were: Microcystis aeruginosa and Aphanothece sp.,Yes,Yes,0.32,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,7/21/2021 18:00,28.529847,-81.362979,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2628/attachments/2320?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Rowena - Formosa canal outflow,Orange,7/21/2021,DEP_CEN_ROC,Yes,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,Collected at outflow into Rowena. Filamentous algae was observed in the canal and Formosa side. ,7/21/2021 17:05,28.569992,-81.364241,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2629/attachments/2322?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Washington - Center (LWC),Brevard,7/20/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,No Bloom Visible HAB Routine Sample,7/20/2021 12:34,28.14224417,-80.74460833,0.304,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2607/attachments/2305?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Hart - Hart Branch Circle,Orange,7/19/2021,DEP_CEN_ROC,No,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,No bloom observed,7/19/2021 17:12,28.392184,-81.217138,0.3,
Lake Monroe - Center (LMAC),Volusia,7/15/2021,SJRWMD,No,Dominant taxon: Microcystis sp.,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/16/2021 3:55,28.83496,-81.27091,0.3,
SJR - Shands Bridge (20030157),StJohns,7/15/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,Yes,,,0.13,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: 0.13 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin: not detected; Saxitoxins: not detected,,7/15/2021 17:05,29.98163056,-81.62213889,0.3,
Lake Jesup - Center (OW-CTR),Seminole,7/15/2021,SJRWMD,No,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/15/2021 14:08,28.72699223,-81.21044237,0.3,
Blue Cypress Lake - Center (BCL),IndianRiver,7/15/2021,SJRWMD,Yes,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,Routine HAB Sample,7/15/2021 14:01,27.72703835,-80.75390136,0.31,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2581/attachments/2289?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Stick Marsh - North (STKM),IndianRiver,7/15/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,Routine HAB Sample,7/15/2021 12:35,27.81123518,-80.73119873,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2580/attachments/2288?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake George - Center (LEO),Volusia,7/15/2021,SJRWMD,No,Dominant taxon: Cylindrospermopsis raciborskii,Yes,Yes,,,0.44,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: 0.44; Nodularin: not detected; Saxitoxins: not detected,,7/15/2021 12:10,29.30830556,-81.60638889,0.3,
Crescent Lake - mouth of Dunns Creek (CRESLM),Putnam,7/14/2021,SJRWMD,No,Dominant taxon: Cylindrospermopsis raciborskii,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/14/2021 14:04,29.52955556,-81.55361111,0.3,
SJR - Mandarin Point (MP72),Duval,7/13/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/13/2021 14:27,30.15666667,-81.68388889,0.3,
Doctors Lake - Center (DTL),Clay,7/13/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,,7/13/2021 13:37,30.13805556,-81.72722222,0.3,
Lake Howell - SW Corner,Seminole,7/8/2021,DEP_CEN_ROC,No,Dominant taxon: Microcystis aeruginosa,Yes,Yes,0.26,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,7/8/2021 16:40,28.6368,-81.3177,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2527/attachments/2260?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Monroe - Center (LMAC),Volusia,7/8/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; Saxitoxins: not detected,Routine HAB sample,7/8/2021 13:29,28.83496,-81.27091,0.3,
