"location","datetime","date","latitude","longitude","county","visitor","algaeobserved","sampledepth","algalid","cyanobacteriadominant","toxinpresent","mcvalue","mcqualifier","cylvalue","cylqualifier","anavalue","anaqualifier","saxvalue","saxqualifier","nodvalue","nodqualifier","othertoxins","comments","picurl"
"Crescent Lake - mouth of Dunns Creek (CRESLM)",2023-02-15 14:33:00,2023-02-15,29.52955556,-81.55372222,"Putnam","SJRWMD","No",0.304,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Pollen on surface, sunny day","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6576/attachments/3243?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Formosa - pedestrian bridge",2023-02-14 19:25:00,2023-02-14,28.569441,-81.3659756,"Orange","CEROC","Yes",0.3,"algal mat - Dominant taxon was: Spirogyra sp.; water - mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny. Specks of algae observed in water column. Detached filamentous algae seen in scattered clumps on surface along shoreline.","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6575/attachments/3240?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Maitland - Kraft Azalea Garden",2023-02-14 18:10:00,2023-02-14,28.6114365,-81.3440743,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.7,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny with a breeze. Algae specks observed in water column ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6574/attachments/3237?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Osceola - Canton Ave",2023-02-14 17:36:00,2023-02-14,28.600539,-81.347034,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",1.5,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny and breezy. Algae specks throughout water column with periphyton observed on submerged vegetation.","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6573/attachments/3234?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Virginia - Dinky Dock",2023-02-14 17:10:00,2023-02-14,28.593842,-81.344553,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",1.1,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny. Water very green with algae specks observed throughout water column ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6572/attachments/3232?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Baldwin - Fleet Peeples Park",2023-02-14 16:38:00,2023-02-14,28.575484,-81.326231,"Orange","CEROC","Yes",0.3,"algal mat - Dominant taxon was: Scytonema crispum; water - Dominant taxon: Microcystis aeruginosa","Yes","Yes",1.1,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny. Wind blowing towards sampling dock.","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6571/attachments/3229?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Tennessee - SW Shore",2023-02-14 15:25:00,2023-02-14,28.509444,-81.333439,"Orange","CEROC","No",0.1,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny. Dense submerged vegetation (mostly Chara) with small floating vegetation on surface (mostly Lemna and Azolla).","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6570/attachments/3226?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Georges Lake - Boat Ramp",2023-02-14 15:20:00,2023-02-14,29.8022081386756,-81.8455186324669,"Putnam","NEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",100,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Strong odor is present at site.","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6568/attachments/3222?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Georges Lake - Center",2023-02-14 14:55:00,2023-02-14,29.795817112168,-81.8482895145986,"Putnam","NEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",49,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6567/attachments/3219?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake George - Center (LEO)",2023-02-14 14:11:00,2023-02-14,29.30830556,-81.60638889,"Volusia","SJRWMD","No",0.317,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Partly cloudy","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6569/attachments/3225?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"St. Johns River - Mandarin Point (MP72)",2023-02-13 17:56:00,2023-02-13,30.15666667,-81.68388889,"Duval","SJRWMD","No",0.303,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Clear skies coolmmmga","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6565/attachments/3215?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Doctors Lake - Center (DTL)",2023-02-13 17:29:00,2023-02-13,30.13805556,-81.72722222,"Clay","SJRWMD","No",0.314,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Clear skies, cool","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6564/attachments/3214?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"St. Johns River - Shands Bridge (20030157)",2023-02-13 16:21:00,2023-02-13,29.98163056,-81.62213889,"StJohns","SJRWMD","No",0.317,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Clear skies, cool","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6563/attachments/3213?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Sue - NW Shore",2023-02-09 18:25:00,2023-02-09,28.579014,-81.358287,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.66,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6562/attachments/3210?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Sunset Lake - W Shore",2023-02-09 17:14:00,2023-02-09,28.536064,-81.413233,"Orange","CEROC","Yes",0.2,"algal mat - Dominant taxon was: Plectonema wollei; water - Co-dominant taxa were: Microcystis aeruginosa and Aphanezomenon flos-aquae","Yes","Yes",4.7,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny. Water very green. ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6561/attachments/3207?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Louise - Club Dock ",2023-02-09 16:25:00,2023-02-09,28.477171,-81.528656,"Orange","CEROC","No",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny. Some algae specks observed in water column but no obvious bloom. Pollen accumulation observed near shoreline. ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6560/attachments/3204?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Big Sand Lake - from Dock",2023-02-09 15:33:00,2023-02-09,28.4262,-81.4931,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6559/attachments/3202?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Ocklawaha River -  just east of Moss Bluff Dam",2023-02-09 14:16:00,2023-02-09,29.07884,-81.881436,"Marion","SJRWMD","Yes",0.305,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cool, partly cloudy","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6556/attachments/3197?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Speer - NW Lobe",2023-02-08 18:00:00,2023-02-08,28.483104,-81.602176,"Orange","County","No",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6558/attachments/3200?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Spar - Lakeside Village Park",2023-02-08 17:00:00,2023-02-08,28.44633,-81.56394,"Orange","County","No",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6557/attachments/3198?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Georges Lake - Center",2023-02-08 16:20:00,2023-02-08,29.7954228322712,-81.8491000396862,"Putnam","NEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",8.5,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Strong odor ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6550/attachments/3191?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Martha - NE Shore",2023-02-06 18:09:00,2023-02-06,28.609491048988,-81.2721488642313,"Orange","CEROC","Yes",0.3,"mixed algae; no dominant species in sample","No","Yes",0.11,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","70 and sunny ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6536/attachments/3161?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Burkett - Center",2023-02-06 17:57:00,2023-02-06,28.6102181663819,-81.2680037008327,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.15,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","70 and sunny","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6535/attachments/3158?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Baldwin - Fleet Peeples Park",2023-02-06 16:46:00,2023-02-06,28.5749748506847,-81.325979252172,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.56,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","70 and sunny ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6537/attachments/3164?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Virginia - Dinky Dock",2023-02-06 15:50:00,2023-02-06,28.5932069088579,-81.3448129640057,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.44,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","70 and sunny ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6538/attachments/3167?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Lily - NW Shore",2023-02-02 19:55:00,2023-02-02,28.62226,-81.366242,"Orange","CEROC","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny, clear. Very high density of aquatic plant, Lemna sp., growing on surface of majority of lake. ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6526/attachments/3150?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Trout Lake - Nature Center Dock",2023-02-02 18:27:00,2023-02-02,28.868691,-81.68185,"Lake","CEROC","Yes",0.3,"Dominant taxon: Dolichospermum sp.","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny, partly cloudy","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6525/attachments/3148?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Ola - NE Shore",2023-02-02 17:04:00,2023-02-02,28.755174,-81.62585,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.21,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny, partly cloudy","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6524/attachments/3146?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Doctors Lake - at Camp Echockotee",2023-01-31 17:45:00,2023-01-31,30.1502676469773,-81.7246111612958,"Clay","NEROC","Yes",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6522/attachments/3140?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Black Creek - at SR-17",2023-01-31 17:00:00,2023-01-31,30.0420394018559,-81.711972971449,"Clay","NEROC","No",0.31761,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/6521/attachments/3137?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
